Id,Id2,State,score,Total Population 18 to 24 years,Total Population 18 to 24 years - MOE,Bachelor's degree or higher,Bachelor's degree or higher - MOE,Bachelor's degree or higher - Percent,Bachelor's degree or higher - Percent MOE,Some college or associate's degree,Some college or associate's degree - MOE,Some college or associate's degree - Percent,Some college or associate's degree - Percent MOE,High school graduate (includes equivalency),High school graduate (includes equivalency) - MOE,High school graduate (includes equivalency) - Percent,High school graduate (includes equivalency) - Percent MOE,Less than high school graduate,Less than high school graduate - MOE,Less than high school graduate - Percent,Less than high school graduate - Percent MOE
0400000US01,1,Alabama,55.78834436,471452,936,34144,1534,7.2,0.3,216722,2958,46,0.6,150607,2566,31.9,0.5,69979,1989,14.8,0.4
0400000US02,2,Alaska,37.68024614,76877,410,4989,506,6.5,0.7,30885,901,40.2,1.1,29693,883,38.6,1.2,11310,660,14.7,0.8
0400000US04,4,Arizona,49.02748617,671345,542,50643,1911,7.5,0.3,294639,3352,43.9,0.5,214987,3025,32,0.4,111076,2185,16.5,0.3
0400000US05,5,Arkansas,56.98071471,286456,939,21915,1264,7.7,0.4,132402,2661,46.2,0.9,93821,2121,32.8,0.7,38318,1323,13.4,0.5
0400000US06,6,California,67.78395738,3917309,952,384834,4459,9.8,0.1,1893620,8084,48.3,0.2,1155180,7478,29.5,0.2,483675,5313,12.3,0.1
0400000US08,8,Colorado,63.52826182,516709,881,59652,1924,11.5,0.4,237187,2944,45.9,0.6,152328,2902,29.5,0.6,67542,1874,13.1,0.4
0400000US09,9,Connecticut,80.00645088,351449,413,52301,1704,14.9,0.5,160436,2331,45.6,0.7,99883,2139,28.4,0.6,38829,1233,11,0.4
0400000US10,10,Delaware,49.20848928,88139,167,9086,754,10.3,0.9,37476,1409,42.5,1.6,29226,1126,33.2,1.3,12351,643,14,0.7
0400000US11,11,District of Columbia,170.4722495,76490,91,16663,839,21.8,1.1,33257,1338,43.5,1.8,19032,994,24.9,1.3,7538,578,9.9,0.8
0400000US12,12,Florida,54.65800014,1770799,1268,154508,3119,8.7,0.2,800769,5914,45.2,0.3,536501,5379,30.3,0.3,279021,3917,15.8,0.2
