Id,Id2,State,Less than high school graduate - Percent,High school graduate (includes equivalency) - Percent,Some college or associate's degree - Percent,Bachelor's degree or higher - Percent,raw score,score,
0400000US01,1,Alabama,14.8,31.9,46,7.2,101055.7956,55.78834436,0.000552055
0400000US02,2,Alaska,14.7,38.6,40.2,6.5,68254.5305,37.68024614,0.000552055
0400000US04,4,Arizona,16.5,32,43.9,7.5,88809.0815,49.02748617,0.000552055
0400000US05,5,Arkansas,13.4,32.8,46.2,7.7,103215.6721,56.98071471,0.000552055
0400000US06,6,California,12.3,29.5,48.3,9.8,122784.8186,67.78395738,0.000552055
0400000US08,8,Colorado,13.1,29.5,45.9,11.5,115075.9915,63.52826182,0.000552055
0400000US09,9,Connecticut,11,28.4,45.6,14.9,144924.8161,80.00645088,0.000552055
0400000US10,10,Delaware,14,33.2,42.5,10.3,89136.9531,49.20848928,0.000552055
0400000US11,11,District of Columbia,9.9,24.9,43.5,21.8,308795.8426,170.4722495,0.000552055
0400000US12,12,Florida,15.8,30.3,45.2,8.7,99008.2741,54.65800014,0.000552055
0400000US13,13,Georgia,16.3,31.8,43.3,8.7,87939.2531,48.54729316,0.000552055
0400000US15,15,Hawaii,7.4,38.7,45.4,8.5,100301.8165,55.37210653,0.000552055
0400000US16,16,Idaho,13.2,34.7,45.3,6.7,96192.0791,53.10330597,0.000552055
0400000US17,17,Illinois,12.7,28.3,46,13,126710.59,69.95119861,0.000552055
0400000US18,18,Indiana,16.1,31.4,43,9.5,88654.1225,48.9419403,0.000552055
0400000US19,19,Iowa,10.4,26.6,52.3,10.7,156881.5871,86.60724457,0.000552055
0400000US20,20,Kansas,12,27.5,50.1,10.4,138218.3366,76.3041062,0.000552055
0400000US21,21,Kentucky,12.7,34.6,44.3,8.3,92893.9991,51.28258483,0.000552055
0400000US22,22,Louisiana,17.8,32.8,41.9,7.5,77817.7615,42.95967441,0.000552055
0400000US23,23,Maine,11.3,31.3,47.4,10.1,117893.4541,65.08365578,0.000552055
0400000US24,24,Maryland,11.3,29.6,45.8,13.3,128249.4441,70.80073052,0.000552055
0400000US25,25,Massachusetts,10.5,27.4,44.6,17.4,181141.4136,100,0.000552055
0400000US26,26,Michigan,13,28.9,48.2,9.9,122434.3381,67.59047292,0.000552055
0400000US27,27,Minnesota,12.2,27.3,47.6,13,137168.666,75.72463043,0.000552055
0400000US28,28,Mississippi,16,28.9,49,6.1,119884.7941,66.18298473,0.000552055
0400000US29,29,Missouri,12.9,30.4,46.7,10.1,113190.6631,62.48745709,0.000552055
0400000US30,30,Montana,13.4,34.4,44.8,7.4,94110.8096,51.954331,0.000552055
0400000US31,31,Nebraska,10.7,27.2,51.2,10.8,148573.1576,82.02053558,0.000552055
0400000US32,32,Nevada,17.6,36.6,40.5,5.3,68576.3331,37.85789883,0.000552055
0400000US33,33,New Hampshire,10.4,30.9,45.4,13.3,125831.9461,69.46613897,0.000552055
0400000US34,34,New Jersey,11.6,28.2,44.9,15.2,144705.1706,79.88519451,0.000552055
0400000US35,35,New Mexico,17.7,29.6,47.3,5.5,107632.7395,59.41917829,0.000552055
0400000US36,36,New York,12.1,26,46.3,15.7,160698.2671,88.71426136,0.000552055
0400000US37,37,North Carolina,13.9,30.8,45.6,9.6,104274.8216,57.56542335,0.000552055
0400000US38,38,North Dakota,8.7,27.1,51.6,12.5,162545.2685,89.73390749,0.000552055
0400000US39,39,Ohio,13.7,32.5,43.9,10,95674.469,52.81755679,0.000552055
0400000US40,40,Oklahoma,16,33.2,43.4,7.5,86028.8065,47.49262181,0.000552055
0400000US41,41,Oregon,13.9,30,47.2,8.9,112342.1721,62.0190435,0.000552055
0400000US42,42,Pennsylvania,12.1,32.7,43,12.2,102741.7356,56.71907575,0.000552055
0400000US44,44,Rhode Island,9.9,29.3,48.3,12.5,137961.0395,76.16206408,0.000552055
0400000US45,45,South Carolina,13.9,32,45.3,8.8,99994.5306,55.20246785,0.000552055
0400000US46,46,South Dakota,14,29.6,46.8,9.6,111886.8576,61.76768491,0.000552055
0400000US47,47,Tennessee,11.9,35.7,43,9.4,88600.8796,48.9125473,0.000552055
0400000US48,48,Texas,15.7,31.8,44.1,8.4,91771.7746,50.66305533,0.000552055
0400000US49,49,Utah,12.3,30.2,50.8,6.7,134035.9641,73.99520708,0.000552055
0400000US50,50,Vermont,9.7,30.6,47.2,12.5,130514.1705,72.05098376,0.000552055
0400000US51,51,Virginia,10.3,30.7,46.4,12.6,126054.8716,69.58920608,0.000552055
0400000US53,53,Washington,14.6,31,43.5,10.9,97404.2911,53.77251351,0.000552055
0400000US54,54,West Virginia,12.4,36.8,43.2,7.6,85324.4256,47.1037649,0.000552055
0400000US55,55,Wisconsin,11.3,31.8,46.1,10.9,113110.5371,62.44322314,0.000552055
0400000US56,56,Wyoming,13.4,33.1,47,6.5,106717.0725,58.91367986,0.000552055
0400000US72,72,Puerto Rico,10.5,28.7,53.2,7.7,154918.2621,85.52338144,0.000552055
